circrna,N1,N2,N3,N4,N5,T1,T2,T3,T4,T5
chr5:96589354-96589608(-),0,0,0,0,0,0,0,6.0857631605,0,0
chr5:76621364-76649231(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr17:3524282-3524706(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr3:36484856-36570477(+),0,0,0,4.6480783908,0,0,0,0,0,0
chr14:89220856-89221015(-),24.4278824874,13.1858201812,8.1143508807,39.1766607224,11.6664435587,0,0,0,0,0
chr16:30926334-30926499(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr10:70411603-70425654(+),0,0,3.0428815803,0,1.0605857781,0,0,0,0,0
chr5:11384777-11397315(-),0,0,0,3.3200559934,0,0,0,0,0,0
chr8:62438536-62468581(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr3:132358336-132363740(-),2.5713560513,0,0,0,0,0,0,0,0,0
chr3:45744930-45756745(+),3.857034077,1.0142938601,0,0,1.0605857781,0,0,0,0,0
chr14:59229307-59229853(+),0,0,0,0,0,0,0,0,3.0428815803,0
chr11:103151077-103194718(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr4:134861300-134861583(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr1:68822418-68822581(+),0,0,0,0,0,0,0,4.0571754404,0,0
chr2:166194555-166199025(+),0,0,0,0,0,0,0,0,0,23.3287587821
chr5:64466444-64492978(-),0,2.0285877202,0,0,2.1211715561,0,0,0,0,0
chr13:77669493-77714298(-),1.2856780257,0,4.0571754404,0,0,0,0,0,0,0
chr1:121258642-121263954(+),0,0,0,0,0,0,3.0428815803,0,0,0
chr5:179268907-179271227(-),2.5713560513,0,0,7.9681343842,1.0605857781,0,0,0,0,0
chr11:62293076-62293237(+),0,0,0,0,0,0,3.0428815803,0,0,0
chr18:29691717-29704808(+),6.4283901283,17.2429956215,1.0142938601,3.9840671921,11.6664435587,0,0,0,0,0
chrM:12616-14467(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr14:89192885-89221015(-),1.2856780257,15.2144079014,0,0,4.2423431122,0,0,0,0,0
chr7:34094255-34094459(-),0,0,0,0,0,0,0,0,2.0285877202,0
chr19:57832462-57832624(+),0,0,0,0,0,0,0,3.0428815803,0,0
chr6:130374004-130425720(+),0,0,0,5.3120895895,0,0,0,0,0,0
chr6:82920531-82921289(-),2.5713560513,0,0,0,0,0,0,0,0,0
chr4:23793914-23794088(-),2.5713560513,0,0,0,0,0,0,0,0,0
chr12:53268859-53269337(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr11:66811109-66813348(+),0,0,0,4.6480783908,0,0,0,0,0,0
chr2:190090137-190090324(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr19:4212472-4212695(+),0,0,3.0428815803,0,0,0,0,0,0,0
chr1:205693054-205698749(-),0,0,0,4.6480783908,2.1211715561,0,0,0,0,0
chr12:120612965-120614020(-),0,1.0142938601,1.0142938601,2.6560447947,1.0605857781,0,0,0,0,0
chr3:133894453-133914026(-),2.5713560513,3.0428815803,3.0428815803,0,3.1817573342,0,0,0,0,0
chr12:1136914-1137738(+),1.2856780257,0,3.0428815803,0,3.1817573342,0,0,0,0,0
chrM:5190-12059(-),0,0,0,0,0,0,0,0,0,24.3430526422
chr17:63923700-63957716(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr5:170319391-170323119(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr9:19619582-19622297(-),1.2856780257,1.0142938601,3.0428815803,0,1.0605857781,0,0,0,0,0
chr1:231124066-231133013(+),0,0,1.0142938601,1.9920335961,0,0,0,0,0,0
chr15:22999339-23000243(+),1.2856780257,0,0,6.6401119869,1.0605857781,0,0,0,0,0
chr19:28184295-28185411(-),0,0,0,0,0,0,0,2.0285877202,0,0
chr22:47287162-47308084(+),0,0,0,4.6480783908,0,0,0,0,0,0
chrM:10782-15507(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr6:167088239-167174633(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr2:32664576-32679010(+),0,0,0,0,2.1211715561,0,0,0,0,0
chr2:26587170-26598016(+),6.4283901283,4.0571754404,1.0142938601,7.3041231855,2.1211715561,0,0,0,0,0
chr8:10689175-10692285(-),0,0,0,5.9761007882,0,0,0,0,0,0
chr12:111990084-111993723(+),0,0,4.0571754404,0,0,0,0,0,0,0
chr12:42604157-42604421(-),17.9994923591,23.3287587821,8.1143508807,7.3041231855,5.3029288903,0,0,0,0,0
chr22:16528845-16529415(-),0,0,0,0,0,0,0,3.0428815803,0,0
chr9:139115609-139118720(-),0,0,0,4.6480783908,0,0,0,0,0,0
chr11:133987963-133988143(+),0,0,0,3.3200559934,0,0,0,0,0,0
chr19:33528602-33529191(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr11:128993341-128994789(-),32.1419506413,40.5717544036,16.2287017615,46.480783908,31.8175733418,0,0,0,0,0
chr5:14591180-14593419(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr3:7721736-7733015(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr4:93068409-93068561(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr1:16044388-16047883(+),3.857034077,4.0571754404,5.0714693005,4.6480783908,4.2423431122,0,0,0,0,0
chr6:30941571-30941741(+),0,0,0,0,0,0,2.0285877202,0,0,0
chrM:5121-5378(-),0,0,0,0,0,0,0,0,2.0285877202,0
chr6:123455796-123456145(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:1112462-1112684(+),0,0,0,0,0,0,0,0,0,2.0285877202
chr12:4799260-4800143(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:109482050-109486270(-),0,0,0,0,0,0,0,0,0,4.0571754404
chr20:8432350-8432555(+),0,0,0,0,0,2.0285877202,0,0,0,0
chr6:152751806-152762292(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr5:65307877-65324171(+),1.2856780257,0,0,0,2.1211715561,0,0,0,0,0
chr12:75676031-75719068(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr15:96401322-96403073(+),0,0,0,0,0,0,0,2.0285877202,0,0
chrY:18285639-18285818(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr6:78899590-78918601(-),0,0,0,0,0,0,0,2.0285877202,0,0
chr20:52192383-52192541(-),0,0,0,0,0,0,0,0,2.0285877202,0
chr18:23895193-23937758(+),1.2856780257,1.0142938601,0,3.3200559934,0,0,0,0,0,0
chr15:45059429-45060146(+),1.2856780257,1.0142938601,0,0,2.1211715561,0,0,0,0,0
chr12:128932939-128937152(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr12:124302988-124303494(+),0,0,0,0,0,0,2.0285877202,0,0,0
chrM:14780-15862(+),0,0,0,0,0,0,0,0,0,17.2429956215
chr7:107224327-107253877(+),0,0,0,3.9840671921,0,0,0,0,0,0
chr19:56702489-56703185(-),0,0,0,0,0,0,0,2.0285877202,0,0
chr4:753794-753956(-),0,3.0428815803,0,0,0,0,0,0,0,0
chr15:51748263-51757073(+),2.5713560513,0,0,0,0,0,0,0,0,0
chr7:98552721-98554156(+),0,0,3.0428815803,0,0,0,0,0,0,0
chr2:128750761-128754065(-),0,1.0142938601,1.0142938601,3.3200559934,2.1211715561,0,0,0,0,0
chr20:5453544-5453700(-),0,0,0,0,0,0,3.0428815803,0,0,0
chr5:10427626-10429807(+),0,0,0,0,0,0,0,0,0,14.2001140413
chr1:192683515-192684646(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr1:92755242-92755394(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr9:131196449-131196752(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr6:152522959-152529341(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr4:46622078-46622801(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr18:59753479-59754187(-),0,0,0,0,0,4.0571754404,0,0,0,0
chr1:35824526-35827390(+),23.1422044618,36.5145789633,18.2572894816,27.8884703448,27.5752302296,0,0,0,0,0
chr2:89857369-89868763(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr22:16525781-16526259(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr5:145894911-145895567(-),0,0,0,0,0,0,0,0,4.0571754404,0
chr12:2929252-2930958(+),2.5713560513,1.0142938601,0,15.9362687684,3.1817573342,0,0,0,0,0
chr13:86213070-86213948(+),0,0,0,0,0,0,0,2.0285877202,0,0
chr7:61968849-61976319(+),0,0,0,0,0,2.0285877202,0,0,0,0
chrM:14065-14349(+),0,0,0,0,0,0,0,0,0,6.0857631605
chr2:64796226-64800202(+),0,1.0142938601,1.0142938601,1.9920335961,0,0,0,0,0,0
chr6:168323536-168363247(-),0,3.0428815803,0,0,0,0,0,0,0,0
chr17:11984673-12016677(+),2.5713560513,6.0857631605,6.0857631605,6.6401119869,3.1817573342,0,0,0,0,0
chr19:52785364-52786666(+),3.857034077,10.1429386009,2.0285877202,8.6321455829,6.3635146684,0,0,0,0,0
chr18:9775275-9815219(+),5.1427121026,7.1000570206,1.0142938601,0,0,0,0,0,0,0
chr9:71661301-71679951(+),0,0,0,1.3280223974,0,0,0,0,0,0
chr1:203825332-203825531(-),0,0,0,0,0,0,0,0,0,2.0285877202
chr6:55335111-55406938(-),0,0,0,3.3200559934,0,0,0,1.0142938601,0,0
chr2:198388836-198389130(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr3:38263069-38271921(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr8:129513199-129514103(+),0,0,0,0,0,0,3.0428815803,0,0,0
chr13:100204421-100211788(+),0,0,0,0,2.1211715561,0,0,0,0,0
chr17:80417868-80430574(+),0,0,0,0,3.1817573342,0,0,0,0,0
chr8:28314304-28340947(-),0,0,0,3.3200559934,0,0,0,0,0,0
chr5:56152427-56155742(+),0,0,0,0,2.1211715561,0,0,0,0,0
chr3:71739161-71777774(-),1.2856780257,0,0,2.6560447947,3.1817573342,0,0,0,0,0
chr15:39616915-39618759(+),0,0,0,0,0,0,0,0,2.0285877202,0
chr15:33951921-33955938(+),0,0,0,0,2.1211715561,0,0,0,0,0
chr6:8104580-8104742(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:159426705-159426855(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr11:44134326-44134925(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr17:18768782-18814564(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr5:125120986-125121265(+),0,0,0,0,0,0,0,5.0714693005,0,0
chr15:24218684-24224358(+),0,0,0,0,0,0,0,3.0428815803,0,0
chr2:114486978-114493435(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr2:160363862-160364014(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr20:18278629-18287037(+),0,0,0,1.9920335961,0,0,0,0,0,0
chr2:55043924-55056614(+),0,1.0142938601,3.0428815803,0,0,0,0,0,0,0
chr12:83595497-83595664(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr4:169923222-169928907(-),0,0,0,8.6321455829,0,0,0,0,0,0
chr21:27083574-27084242(-),0,0,0,0,0,3.0428815803,0,0,0,0
chr17:65941525-65972074(+),11.5711022309,19.2715833417,26.3716403624,13.9442351724,18.029958227,0,0,0,0,0
chr20:29623129-29628331(+),0,3.0428815803,0,0,0,0,0,0,0,0
chr12:79747360-79837885(+),0,2.0285877202,0,0,0,0,0,0,0,0
chrM:6487-7805(+),0,0,0,0,0,0,0,0,0,10.1429386009
chr3:20673636-20674087(+),0,0,0,0,0,0,3.0428815803,0,0,0
chrX:26626262-26626469(-),0,0,0,0,0,0,0,0,0,7.1000570206
chr1:161239539-161239836(-),0,0,0,0,0,0,0,0,2.0285877202,0
chr3:155628481-155632359(+),1.2856780257,0,3.0428815803,0,0,0,0,0,0,0
chr7:5540119-5541662(-),2.5713560513,0,0,0,0,0,0,0,0,0
chr7:109708379-109708898(+),0,0,0,0,0,0,0,0,2.0285877202,0
chr1:150997087-150998149(+),1.2856780257,4.0571754404,5.0714693005,3.3200559934,6.3635146684,0,0,0,0,0
chr4:54245240-54266006(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr21:16149448-16149624(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:168994598-168997268(-),1.2856780257,2.0285877202,2.0285877202,0,8.4846862245,0,0,0,0,0
chr2:118743545-118758508(-),0,0,0,4.6480783908,0,0,0,0,0,0
chr1:95308304-95308632(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr19:22846602-22848119(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr2:32518794-32519479(+),0,0,0,0,0,0,0,4.0571754404,0,0
chr1:231658893-231659266(+),0,0,0,0,0,0,2.0285877202,0,0,0
chrX:10058811-10066619(+),0,0,0,0,2.1211715561,0,0,0,0,0
chr1:51253672-51267349(-),0,0,1.0142938601,5.3120895895,0,0,0,0,0,0
chrX:29539527-29539676(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr6:42571326-42580029(+),0,1.0142938601,2.0285877202,0,0,0,0,0,0,0
chr5:177175642-177190511(-),0,0,0,0,3.1817573342,0,0,0,0,0
chrM:14298-14672(+),0,0,0,0,0,0,0,4.0571754404,2.0285877202,0
chr1:173616796-173617018(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr2:132827272-132827509(+),0,0,0,0,0,0,0,0,5.0714693005,0
chr3:21199750-21199942(-),0,0,0,0,0,0,0,3.0428815803,0,0
chr7:103801520-103828829(-),0,2.0285877202,0,0,1.0605857781,0,0,0,0,0
chr12:27867713-27877119(-),1.2856780257,4.0571754404,0,0,0,0,0,0,0,0
chr2:102448183-102456456(+),0,3.0428815803,0,0.6640111987,0,0,0,0,0,0
chr2:50692580-50758568(-),0,11.157232461,6.0857631605,0,3.1817573342,0,0,0,0,0
chr3:184654034-184689540(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr11:66571466-66595835(+),0,2.0285877202,0,0,2.1211715561,0,0,0,0,0
chr6:136472298-136476896(+),5.1427121026,26.3716403624,2.0285877202,26.5604479474,1.0605857781,0,0,0,0,0
chr17:26677464-26678826(-),0,0,1.0142938601,0,2.1211715561,0,0,0,0,0
chr9:136216479-136216797(+),0,0,0,0,0,0,0,2.0285877202,0,0
chr19:47916759-47917392(+),0,0,0,0,0,0,0,3.0428815803,0,0
chr15:27571956-27574035(+),25.7135605131,8.1143508807,2.0285877202,13.9442351724,21.2117155612,0,0,0,0,0
chr22:27572062-27572220(-),0,0,0,0,0,0,0,0,4.0571754404,0
chr4:3816519-3817029(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr6:161443042-161455481(+),5.1427121026,0,0,1.9920335961,0,0,0,0,0,0
chr19:51189494-51191315(-),1.2856780257,0,3.0428815803,5.3120895895,0,0,0,0,0,0
chr14:31480061-31484809(-),0,0,0,0,0,0,0,0,3.0428815803,0
chr1:155640111-155644887(-),1.2856780257,0,1.0142938601,3.3200559934,2.1211715561,0,0,0,0,0
chr6:134323135-134328072(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr8:123529693-123533768(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr17:70468605-70470323(-),0,0,0,0,0,0,2.0285877202,0,0,0
chrY:25135282-25137003(+),0,0,0,0,0,0,0,2.0285877202,0,0
chr3:101389974-101391057(-),0,1.0142938601,9.1286447408,5.3120895895,0,0,0,0,0,0
chr10:116879949-116931050(-),1.2856780257,3.0428815803,5.0714693005,0,0,0,0,0,0,0
chr7:99090663-99092254(-),0,5.0714693005,2.0285877202,0,2.1211715561,0,0,0,0,0
chr10:62021617-62039397(-),1.2856780257,3.0428815803,0,0,2.1211715561,0,0,0,0,0
chr14:28204348-28204764(-),0,0,0,0,0,0,0,0,5.0714693005,0
chr17:71231615-71239142(+),0,1.0142938601,0,0,2.1211715561,0,0,0,0,0
chr8:51442737-51503477(+),0,2.0285877202,0,0,1.0605857781,0,0,0,0,0
chr4:66356095-66356430(-),0,0,0,7.9681343842,0,0,0,0,0,0
chr2:203125251-203128146(-),0,0,0,0,0,0,0,6.0857631605,0,0
chr8:51351103-51415440(-),0,3.0428815803,0,0,0,0,0,0,0,0
chr3:44702700-44704210(+),0,3.0428815803,0,0,0,0,0,0,0,0
chr17:37373063-37373426(-),7.7140681539,1.0142938601,0,15.2722575698,0,0,0,0,0,0
chr4:21566562-21566736(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr19:49699697-49700131(+),3.857034077,0,0,3.9840671921,0,0,0,0,0,0
chr22:36825973-36826680(+),0,0,0,0,0,0,0,2.0285877202,0,0
chr1:116399898-116402376(-),0,0,0,0,0,0,0,0,0,2.0285877202
chr10:27047991-27059274(-),3.857034077,3.0428815803,3.0428815803,0,3.1817573342,0,0,0,0,0
chr6:18249882-18258636(-),0,3.0428815803,0,0,0,0,0,0,0,0
chr14:23378692-23380612(+),2.5713560513,1.0142938601,5.0714693005,0,0,0,0,0,0,0
chr12:107236367-107264720(+),1.2856780257,0,0,1.9920335961,1.0605857781,0,0,0,0,0
chr7:144482187-144482341(-),0,0,0,0,0,0,0,0,3.0428815803,0
chr2:7401234-7401383(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr1:162112307-162113240(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr7:56049903-56051561(+),3.857034077,10.1429386009,5.0714693005,0,11.6664435587,0,0,0,0,0
chr3:47777524-47814426(-),0,0,2.0285877202,1.9920335961,0,0,0,0,0,0
chr5:74842835-74848416(+),0,2.0285877202,0,0,3.1817573342,0,0,0,0,0
chr12:101295424-101336313(+),0,2.0285877202,0,0,2.1211715561,0,0,0,0,0
chr1:21076216-21100103(+),0,3.0428815803,0,0,0,0,0,0,0,0
chrX:151826793-151827196(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr4:183236213-183236490(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr4:148554916-148555732(+),0,0,2.0285877202,3.3200559934,0,0,0,0,0,0
chr15:60706737-60707281(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr13:100909849-100962162(+),1.2856780257,5.0714693005,0,0,1.0605857781,0,0,0,0,0
chr5:95334542-95335382(-),0,0,0,0,0,0,0,0,0,2.0285877202
chr1:214133453-214139601(+),2.5713560513,0,0,0,0,0,0,0,0,0
chr9:129556752-129560826(+),0,0,0,0,0,0,0,4.0571754404,0,0
chr13:36123804-36124276(-),0,0,0,0,0,0,0,3.0428815803,0,0
chrX:19955623-19988416(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr7:80418622-80440017(-),0,1.0142938601,4.0571754404,5.3120895895,2.1211715561,0,0,0,0,0
chr7:126204865-126205292(-),0,0,0,0,0,5.0714693005,0,0,0,0
chr2:112702537-112705144(+),5.1427121026,2.0285877202,0,0,1.0605857781,0,0,0,0,0
chr7:49268811-49268997(+),0,0,0,0,0,2.0285877202,0,0,0,0
chr8:29959414-29962002(+),3.857034077,12.1715263211,0,14.6082463711,2.1211715561,0,0,0,0,0
chr8:128015990-128016573(+),0,0,0,0,0,0,0,0,4.0571754404,0
chr3:29239518-29240153(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr3:14569353-14570735(-),0,0,0,0,0,0,0,3.0428815803,0,0
chr8:3432467-3474319(-),1.2856780257,0,2.0285877202,0,0,0,0,0,0,0
chr5:133977545-133977708(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr18:19146107-19148055(-),1.2856780257,1.0142938601,0,4.6480783908,0,0,0,0,0,0
chrM:14601-16142(-),0,0,0,0,0,2.0285877202,0,0,0,0
chr8:109748010-109748190(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr5:179007948-179020646(+),0,3.0428815803,0,0,0,0,0,0,0,0
chr3:139794424-139794748(+),0,0,0,0,0,2.0285877202,0,0,0,0
chr1:68316523-68318422(-),0,0,0,0,0,0,0,3.0428815803,0,0
chr8:143412262-143427253(-),2.5713560513,0,4.0571754404,0,1.0605857781,0,0,0,0,0
chr1:204458377-204460085(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr1:29527028-29543197(-),0,0,2.0285877202,0,0,0,0,0,0,0
chr9:33953283-33973235(-),1.2856780257,1.0142938601,0,0,8.4846862245,0,0,0,0,0
chr3:72671345-72671565(-),0,0,0,0,0,0,4.0571754404,0,0,0
chr22:23016775-23082309(-),0,0,0,0,0,1.0142938601,0,3.0428815803,0,0
chr17:54921380-54925426(+),0,1.0142938601,0,1.3280223974,1.0605857781,0,0,0,0,0
chr12:27114381-27114676(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr6:150158474-150174296(-),0,1.0142938601,0,1.9920335961,0,0,0,0,0,0
chr5:26174699-26176715(+),0,0,0,0,0,0,0,0,2.0285877202,0
chr5:54555676-54566534(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr2:207406716-207414884(+),0,2.0285877202,0,0,0,0,0,0,0,0
chr5:41381928-41382636(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr13:20632715-20641530(+),0,3.0428815803,0,0,0,0,0,0,0,0
chr16:78702771-78702936(+),0,0,0,0,0,0,2.0285877202,0,0,0
chr5:108624913-108625551(-),0,0,0,0,0,0,0,0,5.0714693005,0
chr9:36369716-36424680(-),0,3.0428815803,0,0,0,0,0,0,0,0
chr15:83819967-83826793(+),1.2856780257,1.0142938601,2.0285877202,0,0,0,0,0,0,0
chr10:78832855-78872200(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr17:28011581-28030080(-),1.2856780257,0,2.0285877202,3.9840671921,1.0605857781,0,0,0,0,0
chr4:174491823-174491994(-),0,0,0,0,0,0,4.0571754404,0,0,0
chr6:12695471-12745520(-),0,0,0,0,2.1211715561,0,0,0,0,0
chr12:129373184-129442188(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr17:41598737-41599594(+),0,3.0428815803,2.0285877202,0,0,0,0,0,0,0
chr17:15512061-15512230(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr6:43521110-43533473(-),0,0,0,3.9840671921,0,0,0,0,0,0
chr7:34006091-34014396(-),0,4.0571754404,0,0,0,0,0,0,0,0
chr12:85242005-85242179(-),0,0,0,0,0,0,0,0,5.0714693005,0
chr12:518534-527802(-),0,2.0285877202,0,0,0,0,0,0,0,0
chr4:7000812-7006651(+),0,0,4.0571754404,1.3280223974,1.0605857781,0,0,0,0,0
chr3:31970189-31973450(-),0,0,0,0,0,0,0,0,0,3.0428815803
chr15:67350266-67353947(+),0,0,0,0,0,0,0,2.0285877202,0,0
chr13:91248880-91249053(+),0,0,0,0,0,0,0,3.0428815803,0,0
chr6:135673131-135686647(+),0,0,0,0,0,0,0,0,0,3.0428815803
chr12:51064969-51068412(+),0,0,0,3.9840671921,0,0,0,0,0,0
chr1:2585817-2628808(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr7:131071879-131084192(+),8.9997461796,1.0142938601,0,6.6401119869,6.3635146684,0,0,0,0,0
chr6:17665470-17669259(-),5.1427121026,2.0285877202,1.0142938601,0,3.1817573342,0,0,0,0,0
chr20:12361831-12362167(-),0,0,0,0,0,0,0,4.0571754404,0,0
chr16:66769978-66776571(-),0,0,0,0,2.1211715561,0,0,0,0,0
chr1:33276192-33276658(-),0,0,0,1.9920335961,0,0,0,0,0,0
chr3:145148518-145148892(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr9:114293780-114294084(+),0,0,0,0,0,0,0,0,5.0714693005,0
chr12:13028151-13028359(-),0,0,0,0,0,0,2.0285877202,0,0,0
chr14:75508318-75509180(-),6.4283901283,8.1143508807,2.0285877202,0,0,0,0,0,0,0
chr12:72008986-72024734(-),0,0,0,5.3120895895,0,0,0,0,0,0
chr5:128861977-128932357(+),1.2856780257,0,1.0142938601,5.9761007882,0,0,0,0,0,0
chr14:101402109-101417831(+),0,0,2.0285877202,0,0,0,0,0,0,0
chr20:35695127-35696589(-),2.5713560513,0,0,0,0,0,0,0,0,0
chr4:49122423-49157742(-),0,0,0,0,0,0,2.0285877202,0,0,0
